old	new
PLA2G2F	PLA2G2F
RP3-340N1.2	RP3-340N1.2
PLA2G2C	PLA2G2C
UBXN10-AS1	UBXN10-AS1
UBXN10	UBXN10
RP3-340N1.6	RP3-340N1.6
VWA5B1	VWA5B1
RP4-745E8.2	RP4-745E8.2
LINC01141	LINC01141
RP4-749H3.2	RP4-749H3.2
CAMK2N1	CAMK2N1
MUL1	MUL1
RPS4XP4	RPS4XP4
FAM43B	FAM43B
CDA	CDA
PINK1	PINK1
PINK1-AS	PINK1-AS
DDOST	DDOST
KIF17	KIF17
RP5-930J4.5	RP5-930J4.5
SH2D5	SH2D5
RP5-930J4.2	RP5-930J4.2
HP1BP3	HP1BP3
EIF4G3	EIF4G3
RNU7-200P	RNU7-200P
MIR1256	MIR1256
RPS15AP6	RPS15AP6
RP11-487E1.2	RP11-487E1.2
HSPE1P27	HSPE1P27
ECE1	ECE1
RP3-329E20.2	RP3-329E20.2
RP5-1071N3.1	RP5-1071N3.1
PPP1R11P1	PPP1R11P1
RP11-293F5.8	RP11-293F5.8
RP11-293F5.1	RP11-293F5.1
NBPF2P	NBPF2P
HS6ST1P1	HS6ST1P1
CROCCP5	CROCCP5
NBPF3	NBPF3
PFN1P10	PFN1P10
ALPL	ALPL
RP11-63N8.3	RP11-63N8.3
RAP1GAP	RAP1GAP
USP48	USP48
RP11-132G19.3	RP11-132G19.3
LDLRAD2	LDLRAD2
HSPG2	HSPG2
RP11-26H16.1	RP11-26H16.1
RP11-26H16.4	RP11-26H16.4
CELA3B	CELA3B
RN7SL386P	RN7SL386P
RNU6-1022P	RNU6-1022P
CELA3A	CELA3A
RN7SL186P	RN7SL186P
RNU6-776P	RNU6-776P
RP1-224A6.3	RP1-224A6.3
LINC00339	LINC00339
CDC42	CDC42
CDC42-IT1	CDC42-IT1
RP1-224A6.8	RP1-224A6.8
RP1-224A6.9	RP1-224A6.9
WNT4	WNT4
MIR4418	MIR4418
RP11-415K20.1	RP11-415K20.1
RP11-415K20.2	RP11-415K20.2
ZBTB40	ZBTB40
ZBTB40-IT1	ZBTB40-IT1
EPHA8	EPHA8
MIR6127	MIR6127
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
MIR4684	MIR4684
RP11-69E9.1	RP11-69E9.1
MIR4253	MIR4253
LACTBL1	LACTBL1
C1orf234	TEX46
KDM1A	KDM1A
RP1-184J9.2	RP1-184J9.2
MIR3115	MIR3115
MIR4419A	MIR4419A
LUZP1	LUZP1
RP5-979D14.1	RP5-979D14.1
RNU6-514P	RNU6-514P
RNU6-135P	RNU6-135P
HTR1D	HTR1D
RP5-1057J7.1	RP5-1057J7.1
LINC01355	LINC01355
HNRNPR	HNRNPR
ZNF436	ZNF436
ZNF436-AS1	ZNF436-AS1
RP5-1057J7.7	RP5-1057J7.7
TCEA3	TCEA3
RP4-654C18.1	RP4-654C18.1
ASAP3	ASAP3
E2F2	E2F2
RP1-150O5.3	RP1-150O5.3
ID3	ID3
MDS2	MDS2
RP11-223J15.2	RP11-223J15.2
RPL11	RPL11
TCEB3	ELOA
TCEB3-AS1	ELOA-AS1
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
BTBD6P1	BTBD6P1
RP11-4M23.3	RP11-4M23.3
MIR378F	MIR378F
RP11-4M23.4	RP11-4M23.4
PNRC2	PNRC2
SRSF10	SRSF10
RP11-4M23.7	RP11-4M23.7
RP11-293P20.2	RP11-293P20.2
MYOM3	MYOM3
RP11-293P20.4	RP11-293P20.4
IL22RA1	IL22RA1
IFNLR1	IFNLR1
